StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,Q3,Q4,Q4_5_TEXT,Q5_1,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q18,SC0
2024-04-15 13:00:25,2024-04-15 13:38:39,0,137.56.168.198,100,2293,1,2024-04-15 13:38:39,R_8cviVJl0ORxQGiF,,,,,51.5567,5.0789,anonymous,EN,3,1,,22,4,,2.0,1,3.0,3,3,1,4,3,3.0,3,1.0,4,5
2024-04-16 10:19:06,2024-04-16 11:27:51,0,137.56.168.198,100,4124,1,2024-04-16 11:27:51,R_5w4cnCH9wTzR7b3,,,,,51.5567,5.0789,anonymous,EN,6,1,,20,4,,1.0,1,3.0,3,1,1,4,4,1.0,4,1.0,3,5
2024-04-16 12:30:23,2024-04-16 13:24:42,0,137.56.168.198,100,3258,1,2024-04-16 13:24:42,R_1usyaNrNEMyXNJb,,,,,51.5567,5.0789,anonymous,EN,8,1,,20,4,,4.0,1,1.0,3,2,2,1,1,2.0,4,1.0,4,4
2024-04-16 15:35:56,2024-04-16 17:34:10,0,137.56.168.198,100,7094,1,2024-04-16 17:34:11,R_1X4mzS80gP6BqLC,,,,,51.5567,5.0789,anonymous,EN,10,1,,26,4,,3.0,1,2.0,3,2,1,1,4,1.0,4,3.0,4,5
2024-04-17 16:42:22,2024-04-17 17:36:24,0,137.56.168.198,100,3241,1,2024-04-17 17:36:24,R_22tNqetauaQt0Sk,,,,,51.5567,5.0789,anonymous,EN,12,1,,26,4,,3.0,1,1.0,3,1,1,2,3,1.0,4,1.0,3,6
2024-04-19 09:56:28,2024-04-19 10:45:40,0,137.56.168.198,100,2951,1,2024-04-19 10:45:40,R_7euAkMBS5kfcZlD,,,,,51.5567,5.0789,anonymous,EN,14,2,,22,4,,,1,,3,3,1,4,3,,3,,3,4
2024-04-19 11:56:06,2024-04-19 12:33:50,0,137.56.168.198,100,2263,1,2024-04-19 12:33:50,R_5ufgf2NuFHxrgBP,,,,,51.5567,5.0789,anonymous,EN,16,1,,22,4,,3.0,1,2.0,3,4,1,1,1,1.0,4,1.0,3,8
2024-04-19 13:31:26,2024-04-19 14:23:36,0,137.56.168.198,100,3129,1,2024-04-19 14:23:37,R_20q5KeIQ5moCv54,,,,,51.5567,5.0789,anonymous,EN,18,2,,22,4,,2.0,3,3.0,3,3,1,1,3,3.0,4,1.0,4,7
2024-04-19 16:51:04,2024-04-19 17:35:13,0,137.56.168.198,100,2648,1,2024-04-19 17:35:13,R_8Dy4Ji4trw3V8Qx,,,,,51.5567,5.0789,anonymous,EN,20,1,,18,4,,3.0,1,1.0,3,3,3,3,4,1.0,1,1.0,3,3
2024-04-22 10:23:39,2024-04-22 11:16:48,0,137.56.168.198,100,3188,1,2024-04-22 11:16:48,R_2PWJwYNsJq12opj,,,,,51.5567,5.0789,anonymous,EN,22,1,,22,4,,2.0,1,2.0,3,2,1,1,3,3.0,3,1.0,4,7
2024-04-22 12:46:11,2024-04-22 13:18:56,0,137.56.168.198,100,1965,1,2024-04-22 13:18:57,R_2V7koRwARhZJMRO,,,,,51.5567,5.0789,anonymous,EN,24,1,,23,4,,5.0,1,1.0,3,3,1,4,3,1.0,3,3.0,3,4
2024-04-23 10:30:32,2024-04-23 11:23:08,0,137.56.168.198,100,3155,1,2024-04-23 11:23:08,R_2DGYPe0NHmHZ4Ev,,,,,51.5567,5.0789,anonymous,EN,26,1,,21,4,,2.0,1,2.0,2,2,1,3,1,4.0,1,1.0,4,3
2024-04-23 14:39:05,2024-04-23 15:27:02,0,137.56.168.198,100,2876,1,2024-04-23 15:27:03,R_34HMKfA7EOOkYmP,,,,,51.5567,5.0789,anonymous,EN,30,1,,23,4,,2.0,3,1.0,3,2,3,1,1,3.0,1,4.0,4,3
2024-04-24 10:03:40,2024-04-24 10:47:10,0,137.56.168.198,100,2609,1,2024-04-24 10:47:10,R_2dTbj90x6KgkluF,,,,,51.5567,5.0789,anonymous,EN,32,1,,19,5,Moderate,2.0,1,3.0,3,4,1,1,3,1.0,4,4.0,3,7
2024-04-24 11:39:21,2024-04-24 12:34:24,0,137.56.168.198,100,3302,1,2024-04-24 12:34:24,R_5octT2XvaeUdN5L,,,,,51.5567,5.0789,anonymous,EN,34,1,,18,4,,2.0,1,1.0,3,3,1,3,3,3.0,3,4.0,3,5
2024-04-29 10:05:28,2024-04-29 10:30:10,0,137.56.168.198,100,1481,1,2024-04-29 10:30:11,R_8CO2PWvOlAwIyad,,,,,51.5567,5.0789,anonymous,EN,38,2,,22,4,,2.0,3,2.0,3,3,2,1,1,1.0,4,2.0,3,5
